size, time
0,39
10,321
20,871
30,1643
40,2554
50,3781
60,4939
70,6498
80,7993
90,9921
100,11617
110,13788
120,16101
130,18318
140,21017
150,23729
160,26841
170,29917
180,33470
190,36795
200,40031
210,44382
220,47528
230,51160
240,56329
250,58481
260,63730
270,68542
280,73467
290,78962
300,84138
310,89603
320,95152
330,99846
340,106439
350,111362
360,117142
370,124211
380,130326
390,136821
400,143447
410,150227
420,157159
430,164061
440,171848
450,179117
460,187353
470,194091
480,203744
490,222709
500,219988
510,227840
520,236406
530,245221
540,255663
550,268200
560,274372
570,282169
580,291721
590,301418
600,311222
610,321811
620,332512
630,342649
640,353711
650,364123
660,374880
670,391826
680,397847
690,408204
700,423415
710,430969
720,442581
730,470510
740,468352
750,478912
760,491950
770,504750
780,517289
790,530369
800,549533
810,559321
820,571145
830,584840
840,598351
850,612234
860,646743
870,666890
880,658345
890,691958
900,685241
910,701431
920,713472
930,729908
940,765553
950,792553
960,796882
970,795444
980,815223
990,824567
