size, time
0,16
10,239
20,627
30,1248
40,1963
50,3004
60,3933
70,5185
80,6340
90,7690
100,9327
110,11035
120,12604
130,14377
140,16339
150,18992
160,21078
170,23276
180,25921
190,29123
200,31663
210,34642
220,37740
230,40060
240,43714
250,46428
260,50782
270,54348
280,57492
290,61852
300,65644
310,70794
320,74120
330,78506
340,83359
350,105451
360,93124
370,98385
380,102454
390,108415
400,113102
410,117866
420,123286
430,129724
440,135230
450,141051
460,146040
470,152082
480,157376
490,165931
500,171911
510,179311
520,184853
530,191618
540,200374
550,206930
560,213685
570,220300
580,227409
590,249955
600,257904
610,289621
620,283617
630,281099
640,276728
650,292806
660,297133
670,314016
680,310094
690,319945
700,327096
710,336211
720,346650
730,355568
740,365515
750,368370
760,380646
770,386906
780,395207
790,397291
800,419524
810,420652
820,432468
830,439200
840,449020
850,459525
860,473407
870,507542
880,500954
890,511954
900,520889
910,532549
920,544620
930,556485
940,568619
950,578815
960,587241
970,604867
980,611038
990,624917
