n, time
0,16
10,23
20,24
30,34
40,63
50,57
60,68
70,76
80,84
90,91
100,95
110,104
120,112
130,122
140,152
150,178
160,165
170,168
180,173
190,173
200,181
210,190
220,222
230,226
240,230
250,224
260,233
270,299
280,280
290,271
300,270
310,298
320,305
330,294
340,301
350,336
360,337
370,327
380,357
390,359
400,353
410,380
420,422
430,387
440,439
450,418
460,404
470,443
480,440
490,438
500,506
510,451
520,465
530,483
540,473
550,538
560,490
570,528
580,510
590,527
600,549
610,532
620,600
630,551
640,612
650,589
660,612
670,584
680,639
690,602
700,642
710,619
720,662
730,634
740,698
750,844
760,730
770,728
780,740
790,723
800,750
810,794
820,770
830,743
840,752
850,771
860,783
870,791
880,807
890,787
900,825
910,880
920,798
930,846
940,847
950,846
960,835
970,891
980,874
990,863
1000,907
1010,897
1020,961
1030,911
1040,922
1050,956
1060,956
1070,954
1080,947
1090,978
1100,976
1110,997
1120,1038
1130,1006
1140,1018
1150,1040
1160,1037
1170,1036
1180,1039
1190,1033
1200,1065
1210,1102
1220,1170
1230,1102
1240,1101
1250,1101
1260,1119
1270,1112
1280,1235
1290,1150
1300,1248
1310,1157
1320,1202
1330,1174
1340,1183
1350,1200
1360,1235
1370,1208
1380,1256
1390,1346
1400,1263
1410,1240
1420,1270
1430,1267
1440,1276
1450,1313
1460,1316
1470,1331
1480,1421
1490,1318
1500,1327
1510,1322
1520,1387
1530,1421
1540,1376
1550,1365
1560,1375
1570,1381
1580,1385
1590,1404
1600,1459
1610,1471
1620,1423
1630,1431
1640,1457
1650,1455
1660,1510
1670,1543
1680,1476
1690,1487
1700,1508
1710,1529
1720,1509
1730,1579
1740,1574
1750,1535
1760,1668
1770,1589
1780,1561
1790,1607
1800,1618
1810,1588
1820,1602
1830,1598
1840,1614
1850,1682
1860,1708
1870,1645
1880,1655
1890,1661
1900,1664
1910,1755
1920,1675
1930,1687
1940,1711
1950,1706
1960,1715
1970,1765
1980,1821
1990,1817
2000,1795
2010,1851
2020,1783
2030,1792
2040,1830
2050,3337
2060,1920
2070,3648
2080,2117
2090,4397
2100,2486
2110,3300
2120,3500
2130,1986
2140,1886
2150,1892
2160,1952
2170,1934
2180,1937
2190,1907
2200,1951
2210,2029
2220,1992
2230,1955
2240,1977
2250,2001
2260,2020
2270,1993
2280,2004
2290,2002
2300,2050
2310,2045
2320,2032
2330,2055
2340,2046
2350,2112
2360,2057
2370,2072
2380,2090
2390,2106
2400,2131
2410,2115
2420,2124
2430,2193
2440,2181
2450,2240
2460,2315
2470,2248
2480,2263
2490,2300
2500,2245
2510,2234
2520,2193
2530,2237
2540,2266
2550,2219
2560,2259
2570,2247
2580,2308
2590,2311
2600,2313
2610,2298
2620,2306
2630,2297
2640,2319
2650,2323
2660,2402
2670,2371
2680,2335
2690,2348
2700,2414
2710,2461
2720,2379
2730,2392
2740,2593
2750,2403
2760,2419
2770,2416
2780,2445
2790,2501
2800,2455
2810,2469
2820,2591
2830,2505
2840,2490
2850,2486
2860,2589
2870,2507
2880,2508
2890,2519
2900,2590
2910,2687
2920,2539
2930,2614
2940,2669
2950,2666
2960,2667
2970,2616
2980,2647
2990,2631
3000,2624
3010,2674
3020,2714
3030,2654
3040,2639
3050,2740
3060,2682
3070,2669
3080,2726
3090,2740
3100,2699
3110,2721
3120,2786
3130,2775
3140,2743
3150,2774
3160,2792
3170,2777
3180,2763
3190,2815
3200,2931
3210,2797
3220,2842
3230,2875
3240,2815
3250,2812
3260,2897
3270,2908
3280,2891
3290,2910
3300,2915
3310,2930
3320,2902
