size, time
0,17
10,222
20,920
30,1925
40,3116
50,4608
60,6187
70,8086
80,10188
90,12242
100,14774
110,17608
120,20333
130,23331
140,26530
150,29987
160,33744
170,38353
180,62027
190,81697
200,66018
210,65569
220,60123
230,64424
240,69639
250,74927
260,79619
270,85250
280,91470
290,98010
300,105671
310,112968
320,117175
330,123936
340,131085
350,137513
360,145301
370,152919
380,162307
390,168762
400,176971
410,185177
420,193722
430,204834
440,211123
450,220932
460,228719
470,240739
480,249198
490,261819
500,269830
510,281936
520,290344
530,299940
540,314073
550,325645
560,336040
570,364119
580,360186
590,372800
600,388686
610,395998
620,409514
630,422819
640,439284
650,451691
660,463904
670,479850
680,498562
690,535109
700,520900
710,542502
720,555238
730,563153
740,578475
750,591144
760,635291
770,630862
780,641583
790,657638
800,679065
810,703771
820,714733
830,735946
840,747681
850,767817
860,779133
870,826701
880,821876
890,848748
900,852910
910,873015
920,899512
930,955994
940,946473
950,957338
960,973095
970,999894
980,1013122
990,1031119
