size, time
0,17
10,127
20,322
30,588
40,924
50,1361
60,1926
70,2301
80,2862
90,3532
100,4165
110,5005
120,5888
130,6903
140,7744
150,8565
160,9641
170,11410
180,12027
190,13511
200,14422
210,15806
220,17289
230,19039
240,21178
250,21933
260,23742
270,25625
280,27254
290,29823
300,31663
310,33734
320,35768
330,38147
340,40011
350,42310
360,45007
370,46870
380,49561
390,52464
400,55017
410,57396
420,60618
430,63250
440,65745
450,68807
460,86333
470,74981
480,77278
490,80307
500,83635
510,87057
520,92178
530,94784
540,98551
550,100476
560,104482
570,107464
580,112028
590,115354
600,120914
610,124809
620,128476
630,130405
640,135042
650,140664
660,144961
670,148718
680,153490
690,159591
700,161351
710,166907
720,171828
730,175281
740,177912
750,182565
760,188640
770,195454
780,199251
790,204899
800,208339
810,213742
820,221335
830,229155
840,230783
850,234968
860,243647
870,244717
880,250864
890,267694
900,264305
910,270166
920,277983
930,282127
940,286734
950,292340
960,300896
970,304964
980,311250
990,318830
