size, time
0,16
10,866
20,2029
30,2991
40,4321
50,5922
60,6715
70,8167
80,9344
90,11165
100,12102
110,13502
120,14291
130,15645
140,16859
150,18541
160,19196
170,21660
180,22240
190,23551
200,23944
210,25887
220,27180
230,28497
240,29023
250,30922
260,31517
270,32907
280,35029
290,37018
300,37767
310,40217
320,39942
330,42263
340,44117
350,45292
360,45894
370,47114
380,47618
390,50174
400,51350
410,53504
420,54785
430,55934
440,57301
450,60009
460,60060
470,71261
480,64397
490,63112
500,64001
510,68751
520,68396
530,68705
540,69814
550,71608
560,72860
570,74938
580,76225
590,77904
600,78520
610,80687
620,81668
630,83509
640,83591
650,87329
660,88021
670,88150
680,109057
690,92384
700,93124
710,96995
720,96235
730,98440
740,98828
750,102860
760,103247
770,105062
780,106458
790,109847
800,106247
810,107122
820,110847
830,111864
840,113376
850,115990
860,116861
870,117362
880,115626
890,119798
900,120792
910,124834
920,122722
930,125668
940,125858
950,124220
960,124990
970,126599
980,128252
990,131614
