size, time
0,35
10,292
20,859
30,1668
40,2741
50,3665
60,4917
70,6436
80,8018
90,9670
100,11927
110,13689
120,29489
130,22765
140,20929
150,23652
160,26684
170,30284
180,32360
190,35583
200,38999
210,42717
220,46389
230,50741
240,55665
250,61578
260,65021
270,69156
280,74106
290,78596
300,84628
310,89134
320,94125
330,99439
340,105870
350,111486
360,119892
370,126189
380,131321
390,137678
400,145093
410,151409
420,159912
430,168883
440,173167
450,180536
460,187953
470,202140
480,209847
490,213692
500,220522
510,228314
520,242839
530,246694
540,256521
550,263928
560,277200
570,281095
580,290582
590,305334
600,315325
610,325680
620,345497
630,355213
640,387766
650,379951
660,385796
670,404081
680,424932
690,435031
700,483685
710,461548
720,462066
730,463368
740,474786
750,487080
760,502531
770,515341
780,522021
790,536446
800,548891
810,566473
820,587396
830,596976
840,614065
850,617741
860,633508
870,647173
880,667258
890,678671
900,700649
910,715239
920,751608
930,745178
940,751825
950,768846
960,782909
970,809736
980,827222
990,855380
