size, time
0,19
10,1166
20,9182
30,27641
40,29060
50,78688
60,80520
70,227233
80,220059
90,222797
100,657019
110,665594
120,658979
130,657716
140,664878
150,1963915
160,1945740
170,1954506
180,1971559
190,1973985
200,1966201
210,1985564
220,5773127
230,5730959
240,5830985
250,5804571
260,5813175
270,5866115
280,5799178
290,5754001
300,5815563
310,5927756
320,17504850
330,17414769
340,17609383
350,17432674
360,17519237
370,17492311
380,17507540
390,17466289
400,17733328
410,17398217
420,17516219
430,17502290
440,17610987
450,17657969
460,17681843
470,17688480
480,-33513479
490,-33230345
500,-33158435
510,-33515760
520,-33597537
530,-33543907
540,-33038644
550,-33301255
560,-33358141
570,-33265800
580,-33317224
590,-33231678
